,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
35,2016-17,2017-03-17,,Southern California,,,Southern Methodist,11,W,,66,65,1,,,True
36,2016-17,2017-03-17,,UCLA,8,,Kent State,,W,,97,80,17,,,True
37,2016-17,2017-03-18,,Arizona,4,,Saint Mary's (CA),22,W,,69,60,9,,,True
38,2016-17,2017-03-18,,Butler,21,,Middle Tennessee,,W,,74,65,9,,,True
39,2016-17,2017-03-18,,Florida,20,,Virginia,24,W,,65,39,26,,,True
40,2016-17,2017-03-18,,Xavier,,,Florida State,16,W,,91,66,25,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,2016-17,2017-03-18,,Gonzaga,2,,Northwestern,,W,,79,73,6,,,True
43,2016-17,2017-03-18,,Purdue,15,,Iowa State,16,W,,80,76,4,,,True
44,2016-17,2017-03-18,,Wisconsin,25,,Villanova,1,W,,65,62,3,,,True
45,2016-17,2017-03-18,,West Virginia,13,,Notre Dame,14,W,,83,71,12,,,True
46,2016-17,2017-03-19,,Baylor,12,,Southern California,,W,,82,78,4,,,True
47,2016-17,2017-03-19,,South Carolina,,,Duke,7,W,,88,81,7,,,True
48,2016-17,2017-03-19,,Kansas,3,,Michigan State,,W,,90,70,20,,,True
49,2016-17,2017-03-19,,Kentucky,5,,Wichita State,19,W,,65,62,3,,,True
50,2016-17,2017-03-19,,Michigan,23,,Louisville,10,W,,73,69,4,,,True
51,2016-17,2017-03-19,,North Carolina,6,,Arkansas,,W,,72,65,7,,,True
52,2016-17,2017-03-19,,Oregon,9,,Rhode Island,,W,,75,72,3,,,True
53,2016-17,2017-03-19,,UCLA,8,,Cincinnati,18,W,,79,67,12,,,True
54,2016-17,2017-03-23,,Xavier,,,Arizona,4,W,,73,71,2,,,True
55,2016-17,2017-03-23,,Gonzaga,2,,West Virginia,13,W,,61,58,3,,,True
56,2016-17,2017-03-23,,Kansas,3,,Purdue,15,W,,98,66,32,,,True
57,2016-17,2017-03-23,,Oregon,9,,Michigan,23,W,,69,68,1,,,True
58,2016-17,2017-03-24,,South Carolina,,,Baylor,12,W,,70,50,20,,,True
59,2016-17,2017-03-24,,Florida,20,,Wisconsin,25,W,,84,83,1,,1,True
60,2016-17,2017-03-24,,Kentucky,5,,UCLA,8,W,,86,75,11,,,True
61,2016-17,2017-03-24,,North Carolina,6,,Butler,21,W,,92,80,12,,,True
